lat,lon,category
17.91492798,102.2410293,manufacture
22.53178973,120.3712019,finance
22.53178973,120.3712019,finance
22.55214002,120.53548,pharma
22.59342,120.29714,manufacture
22.60455,120.30048,manufacture
22.60522001,120.30978,manufacture
22.60522001,120.30978,manufacture
22.60763002,120.30732,manufacture
22.62124001,120.30647,finance
22.62453817,120.2745074,manufacture
22.62805001,120.29269,manufacture
22.63018999,120.29575,manufacture
22.64107,120.37856,manufacture
22.65211001,120.36747,pharma
22.65580999,120.30257,manufacture
22.66001,120.28217,manufacture
22.66209,120.49142,health
22.67184998,120.31737,pharma
22.68214,120.2972557,manufacture
22.71456998,120.54401,health
22.72217842,120.3097819,health
22.725565,120.2982811,manufacture
22.77978984,120.3458827,manufacture
22.78174999,120.4017702,pharma
22.79774998,120.28718,manufacture
22.85929,120.2623397,health
22.9528316,120.2638206,manufacture
22.96608001,120.18313,manufacture
22.98008001,120.17954,pharma
22.98691998,120.21563,finance
22.99091002,120.19748,pharma
22.99206999,120.22184,manufacture
22.99395001,120.20508,manufacture
22.99490001,120.20169,finance
22.99851999,120.18183,manufacture
23.00181999,120.18929,manufacture
23.00320127,120.2338983,manufacture
23.00334,120.19198,manufacture
23.00557998,120.26404,pharma
23.00575998,120.20691,manufacture
23.00972001,120.23345,manufacture
23.02236001,120.24869,manufacture
23.03682001,120.23005,manufacture
23.03812131,120.2875066,pharma
23.04929999,120.27504,pharma
23.05103001,120.2755,health
23.07862999,120.2974,health
23.082195,120.2922514,manufacture
23.08793904,120.2863067,health
23.08949827,120.360075,manufacture
23.10508,120.28444,health
23.1115,120.31961,manufacture
23.11829998,120.28177,pharma
23.140675,120.3042947,health
23.15842028,120.4894459,pharma
23.1706,120.16736,manufacture
23.20057,120.5134,manufacture
23.20959001,120.33093,manufacture
23.30157,120.2963439,pharma
23.32000001,120.33567,pharma
23.32066,120.33639,pharma
23.43101999,120.39638,manufacture
23.50873,120.35931,manufacture
23.52561002,120.46006,health
23.52806998,120.4415,pharma
23.54734999,120.46183,health
23.55947999,120.30186,manufacture
23.70302843,120.53547,manufacture
23.70884001,120.52211,manufacture
23.71738,120.59222,manufacture
23.72327001,120.5926,pharma
23.72667,120.54749,health
23.8180937,120.570378,manufacture
23.81823999,120.57058,manufacture
23.83453001,120.59553,pharma
23.84390001,120.5722,manufacture
23.84938999,120.57345,manufacture
23.86461002,120.55452,manufacture
23.87733001,120.46299,manufacture
23.91479,120.35069,manufacture
23.91902001,120.60941,manufacture
23.92601999,120.66676,pharma
23.93786001,120.56063,manufacture
23.96461999,120.67825,manufacture
23.97084198,120.4767266,manufacture
23.97637,121.60801,finance
23.99851,120.42794,manufacture
23.99944001,120.69178,manufacture
24.03788998,120.50701,manufacture
24.06061998,120.51593,pharma
24.07771001,120.71955,finance
24.08132999,120.49909,manufacture
24.09504002,120.53682,manufacture
24.09563002,120.71424,health
24.09934002,120.52391,manufacture
24.10288349,120.454405,manufacture
24.10524,120.71561,manufacture
24.10576001,120.67733,manufacture
24.10832347,120.6223335,finance
24.12168998,120.62954,manufacture
24.12342799,120.5699689,manufacture
24.13200002,120.49102,manufacture
24.13238999,120.48927,manufacture
24.13491998,120.63787,manufacture
24.13686999,120.43179,manufacture
24.13809002,120.58956,manufacture
24.14241001,120.64706,manufacture
24.14422838,120.665295,health
24.14630001,120.47626,manufacture
24.147615,120.5860407,pharma
24.1477358,120.6736482,manufacture
24.15687001,120.55137,manufacture
24.15882001,120.64023,manufacture
24.15910999,120.65085,manufacture
24.16324,120.64821,health
24.16324,120.64821,health
24.16475,120.61884,manufacture
24.16824999,120.50669,manufacture
24.16832002,120.50789,manufacture
24.1701,120.61303,pharma
24.17059,120.6014,health
24.17170002,120.6272982,manufacture
24.17377277,120.6339509,manufacture
24.17632,120.73447,health
24.18498,120.6085718,manufacture
24.19536757,120.5867281,manufacture
24.19678002,120.70254,manufacture
24.20327,120.60957,pharma
24.20372691,120.7266829,pharma
24.20860999,120.65089,manufacture
24.22386016,120.5153285,manufacture
24.23193466,120.589915,health
24.23786999,120.53069,manufacture
24.24123001,120.67486,manufacture
24.24875,120.56379,finance
24.25374,120.82954,finance
24.25912686,120.5360408,manufacture
24.27816,120.57947,manufacture
24.27816,120.57947,manufacture
24.35423781,120.6306252,pharma
24.39839002,120.65505,pharma
24.40129,120.65139,manufacture
24.40306,120.65493,pharma
24.40621,120.65268,pharma
24.57358001,120.7351,manufacture
24.62864002,121.8217,manufacture
24.63426,121.75217,pharma
24.63426,121.75217,pharma
24.65131001,120.95495,manufacture
24.7064431,120.9212851,health
24.7064431,120.9212851,health
24.70696999,121.18105,manufacture
24.70834999,120.91862,pharma
24.70839999,120.91416,pharma
24.74517002,121.78536,manufacture
24.77433795,121.0479737,health
24.77611957,121.0111869,health
24.77696002,121.00284,pharma
24.77709002,120.98437,manufacture
24.78197,121.00557,manufacture
24.78197,121.00557,manufacture
24.78197,121.00557,manufacture
24.78277002,121.03077,pharma
24.78371,120.959414,health
24.78397001,121.00508,health
24.78448001,121.00282,manufacture
24.79431001,120.93723,manufacture
24.79830031,121.0069977,manufacture
24.79968814,121.0234409,health
24.80327002,120.98491,manufacture
24.80493001,121.04882,pharma
24.80516998,121.04733,pharma
24.80534998,120.9681,manufacture
24.80619,120.96893,health
24.80635499,121.0459015,health
24.80721001,121.04744,health
24.80833,120.98015,finance
24.81632,120.9933,manufacture
24.81942999,121.02768,manufacture
24.8222,121.02433,health
24.82669,121.01281,manufacture
24.8327,120.9968695,manufacture
24.83877999,121.01262,manufacture
24.84200004,121.0129951,health
24.84314,121.01658,manufacture
24.84478001,121.00645,manufacture
24.84826998,121.01085,manufacture
24.86754002,121.01641,manufacture
24.86810001,121.01793,pharma
24.87079002,121.2243,manufacture
24.87254434,121.0378587,manufacture
24.87383998,121.02951,health
24.88455,121.28967,manufacture
24.88492002,121.01044,pharma
24.88630999,121.01505,manufacture
24.89809,121.20463,manufacture
24.90037001,121.20277,manufacture
24.90087,121.04782,pharma
24.90499132,121.199665,manufacture
24.91458001,121.36582,manufacture
24.93884136,121.5600151,manufacture
24.94188,121.27925,manufacture
24.95471001,121.30413,manufacture
24.95840002,121.41786,health
24.96041,121.41193,manufacture
24.96064612,121.2404073,manufacture
24.96357002,121.42038,manufacture
24.96492998,121.43914,manufacture
24.96948001,121.54575,manufacture
24.97004998,121.4323,manufacture
24.97035001,121.53794,manufacture
24.9739,121.54853,manufacture
24.97879475,121.4099321,pharma
24.97887915,121.5513455,health
24.97908999,121.32392,health
24.98017,121.54877,manufacture
24.98020998,121.55234,manufacture
24.98074998,121.44318,manufacture
24.98279999,121.53716,manufacture
24.98301,121.53643,manufacture
24.98327,121.53327,manufacture
24.98335998,121.53705,manufacture
24.98384001,121.55218,health
24.98388,121.45367,manufacture
24.98422998,121.55228,manufacture
24.98488,121.54005,manufacture
24.98501,121.29133,manufacture
24.98508648,121.320631,manufacture
24.98573001,121.53315,manufacture
24.98573001,121.53315,manufacture
24.98583,121.41519,health
24.98676002,121.56369,manufacture
24.98711,121.31093,pharma
24.98722002,121.29287,manufacture
24.99039001,121.54068,manufacture
24.99313999,121.33064,manufacture
24.99499,121.48106,manufacture
24.99643998,121.48724,manufacture
24.99643998,121.48724,health
24.99651002,121.48875,pharma
24.99684001,121.49231,manufacture
24.99722,121.33383,manufacture
24.99732,121.48781,manufacture
24.99743001,121.49359,manufacture
24.99789001,121.48556,manufacture
